1,1,2022-01-04
2,2,2022-02-10
3,1,2022-01-17
4,3,2022-01-23
5,4,2022-05-11
6,5,2022-09-02
7,6,2022-11-29
8,8,2022-04-01
9,5,2022-03-05
10,7,2022-08-16
11,7,2022-01-21
12,9,2022-05-04
13,10,2022-07-02
14,2,2022-11-13
15,1,2022-09-19
16,3,2022-10-21
17,4,2022-10-29
18,6,2022-10-31
19,18,2022-11-06
20,11,2022-11-17
21,10,2022-11-21
22,8,2022-12-03
23,14,2022-12-09
24,25,2022-12-12
25,13,2022-12-16
26,7,2022-12-18
27,16,2022-12-18
28,4,2022-12-19
29,7,2022-12-20
30,22,2022-12-22
31,16,2022-12-26
32,12,2022-12-28
33,9,2023-01-03
34,20,2023-01-10
35,4,2023-01-23
36,21,2023-02-07
37,10,2023-02-15
38,15,2023-02-24
39,7,2023-03-04
40,9,2023-03-22
41,24,2023-03-31
42,4,2023-04-02
43,30,2023-04-17
44,10,2023-04-29
45,20,2023-05-12
46,18,2023-05-29
47,17,2023-06-01
48,13,2023-05-08
49,17,2023-05-10
50,19,2023-05-11